propertyid,attrition,latitude,longitude,bedrooms,bathrooms,averagedailyrateusd,rating_overall,rating_communication,rating_accuracy,rating_cleanliness,rating_checkin,rating_location,rating_value,reservationdays1,reservationdays2,reservationdays3,reservationdays4,reservationdays5,reservationdays6,reservationdays7,reservationdays8,reservationdays9,reservationdays10,reservationdays11,reservationdays12,nmon
6091945,0,37.724739,-122.45676,1,1.0,100.1,90,10,10,9,10,10,10,0.0,3.0,5.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,18
7840421,1,37.847099,-122.48069,1,1.0,533.35999,89,10,9,9,9,10,9,0.0,6.0,8.5,10.0,9.0,4.5,7.5,11.0,5.0,6.5,2.0,0.0,23
14357670,0,37.500595,-122.26466,1,1.0,158.63,99,10,10,10,10,10,10,20.5,20.0,25.5,26.0,28.0,28.0,30.0,17.0,22.5,29.0,18.0,25.0,20
6132191,0,37.796326,-122.4119,3,3.0,576.65002,98,10,10,10,10,10,10,7.3333335,5.6666665,8.666667,8.0,8.666667,7.5,4.3333335,3.6666667,11.0,11.666667,6.3333335,3.6666667,35
8249336,0,37.985527,-122.57745,1,1.0,134.53,98,10,10,10,10,10,10,12.0,16.333334,20.333334,17.5,24.0,21.5,27.0,29.0,29.5,26.0,18.0,21.333334,29
14221774,1,37.821056,-122.27129,1,1.5,32.799999,93,10,10,9,10,9,10,0.0,1.0,8.0,12.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,12
11345843,0,37.536957,-122.28672,1,1.0,99.25,100,10,10,9,10,10,10,22.0,12.0,13.0,14.0,26.0,19.0,27.0,25.5,19.5,21.0,19.5,21.0,21
3890437,0,37.803837,-122.43756,1,1.0,248.16,99,10,10,10,10,10,10,3.25,3.3333333,1.6666666,4.0,3.3333333,6.3333335,7.3333335,11.25,10.25,8.5,3.0,3.0,42
16678379,0,37.763615,-122.48011,1,1.0,91.57,96,10,10,10,10,10,10,12.0,17.5,27.0,29.0,29.0,29.0,31.0,30.0,30.0,31.0,21.0,19.0,15
9388018,0,37.706116,-122.47858,1,1.0,102.24,90,10,10,9,10,9,9,9.0,15.5,18.5,3.0,21.0,14.0,25.5,28.0,27.5,21.0,20.0,10.5,22
15115496,1,37.998463,-122.57331,0,1.0,130.83,100,10,10,10,10,10,10,0.0,0.0,3.0,10.0,5.0,8.0,6.0,20.0,23.0,11.0,7.0,1.0,18
8167459,0,37.778122,-122.50262,1,1.0,140.74001,98,10,10,10,10,10,10,21.333334,18.666666,28.666666,29.5,30.0,29.5,29.0,31.0,22.666666,23.666666,20.0,22.333334,31
10945749,0,37.525806,-121.92448,1,1.0,81.230003,99,10,10,10,10,10,10,17.0,15.666667,18.0,11.0,28.5,25.5,26.5,25.0,24.0,23.5,26.5,19.0,24
12814695,1,37.852058,-122.21331,2,1.0,137.23,94,10,10,10,10,9,9,0.0,0.0,1.0,5.0,6.5,8.0,11.5,5.5,7.0,3.0,0.0,4.0,20
1252623,0,37.772575,-122.23106,1,1.0,91.879997,97,10,10,9,10,9,9,5.5,0.0,0.66666669,7.5,0.0,11.666667,6.5,7.5,9.5,9.75,5.75,5.6666665,37
2947746,0,37.750435,-122.43398,1,1.5,114.37,80,9,8,7,8,10,8,15.75,17.666666,23.333334,20.5,24.333334,16.333334,22.333334,29.75,20.25,22.75,17.75,17.5,41
633412,0,37.579449,-122.35013,1,1.5,125.61,97,10,10,10,10,10,10,16.75,14.5,16.75,17.333334,18.333334,25.333334,20.333334,26.25,18.75,15.25,14.75,11.25,44
4517932,0,37.802914,-122.41626,1,1.0,334.26999,96,10,10,10,10,10,9,14.5,11.0,11.5,11.666667,16.0,11.0,14.666667,13.333333,14.666667,9.75,8.75,12.25,42
7331464,0,37.748978,-122.43125,2,1.0,291.64001,97,10,10,10,10,10,9,23.0,23.0,17.5,18.0,23.0,21.0,24.0,28.0,22.0,25.0,22.0,21.0,13
6558237,0,37.744392,-122.42116,1,1.0,93.300003,97,10,10,10,10,10,10,12.5,14.0,25.5,14.0,14.0,18.333334,21.333334,23.0,18.666666,17.0,21.5,13.5,29
16083525,0,37.756035,-122.4112,1,1.5,346.54999,100,10,10,10,10,10,10,18.5,8.5,7.0,6.0,0.0,3.0,5.0,16.0,17.0,12.0,12.0,5.0,16
14595362,0,37.593491,-122.06855,1,3.0,61.09,97,10,10,10,10,10,10,18.0,22.0,14.0,19.0,15.0,28.0,30.0,15.5,15.0,22.0,12.0,8.5,19
7458945,0,37.778889,-122.40638,1,1.0,300.0,95,10,10,10,10,9,9,10.0,8.0,5.0,8.5,12.5,14.0,11.333333,11.666667,8.0,10.0,2.3333333,1.0,30
419322,0,37.837357,-122.21918,1,1.0,93.139999,98,10,10,10,10,10,10,4.0,3.5,4.0,2.0,18.0,11.0,23.0,15.5,0.5,2.5,3.0,0.0,20
1697558,0,37.895653,-122.29824,4,2.0,306.26999,90,10,9,9,10,10,9,3.5,2.25,4.25,2.0,5.3333335,1.6666666,1.0,3.0,1.3333334,8.333333,1.25,2.0,41
869489,0,37.975521,-122.4794,1,1.0,87.900002,97,10,10,9,10,10,10,14.25,4.5,6.75,14.333333,12.666667,19.333334,19.0,13.75,14.25,12.25,8.5,6.5,44
2865075,0,38.084774,-122.80742,1,1.0,213.78999,99,10,10,10,10,10,9,13.75,13.5,12.25,9.5,8.666667,7.0,6.3333335,8.0,10.0,5.0,5.0,13.25,39
9239003,0,37.932331,-122.55183,0,1.0,117.64,92,10,10,9,10,9,9,7.5,16.0,19.5,23.5,21.0,21.5,23.0,26.5,19.5,25.5,10.0,9.5,24
10923070,1,37.774475,-122.5052,3,2.0,400.20999,94,10,10,10,10,9,9,20.0,14.0,17.0,16.5,15.0,17.0,14.5,14.0,15.5,9.5,19.0,14.0,21
1673011,0,37.758686,-122.4268,3,2.5,608.46002,100,10,10,10,10,10,10,16.333334,5.3333335,15.25,17.0,14.0,14.333333,18.333334,18.5,15.5,23.0,17.0,11.5,41
7229357,1,37.88549,-122.05302,1,1.0,97.07,87,9,9,9,9,10,9,0.5,2.0,7.0,0.0,5.5,3.5,1.5,1.0,9.0,3.0,10.0,0.0,20
11659966,0,37.720139,-122.3935,1,1.0,78.370003,86,9,9,8,9,8,9,14.0,15.0,24.666666,21.5,30.0,27.5,30.0,28.0,29.0,26.5,11.5,26.5,25
17777943,0,37.86047,-122.23759,1,1.0,120.13,100,10,10,10,10,10,10,21.0,19.0,14.5,7.0,20.0,23.0,28.0,21.0,28.0,21.0,23.0,26.0,13
12386446,0,37.99131,-122.58341,1,1.0,179.86,100,10,10,10,10,10,10,4.0,0.0,7.0,2.0,0.0,28.0,14.0,24.0,13.0,14.0,7.0,9.0,13
10121519,1,37.526291,-121.98967,1,1.5,46.25,84,9,9,8,9,9,9,19.5,25.0,31.0,26.0,29.0,17.0,26.0,21.5,30.0,26.0,24.0,13.0,18
16637368,0,37.8284,-122.22155,1,1.0,74.220001,94,10,10,10,9,10,10,7.0,0.0,9.0,24.0,25.0,21.0,2.0,1.0,28.0,20.0,13.0,17.0,13
1343385,0,37.785816,-122.44409,1,1.0,223.17999,98,10,10,10,10,10,10,9.0,15.75,21.75,17.666666,24.333334,23.666666,27.0,18.5,24.5,23.25,21.75,12.75,44
1247028,0,37.861027,-122.57905,1,1.0,486.95999,100,10,10,10,10,10,10,6.5,9.25,7.0,11.0,11.5,6.6666665,9.666667,3.25,6.3333335,5.5,8.5,9.25,41
10807384,0,37.661079,-122.43605,1,1.0,62.490002,98,10,10,10,10,10,10,8.333333,20.0,19.5,22.0,16.0,15.5,10.0,6.0,17.5,26.0,9.5,7.5,22
